motocykle ogółem;motocykle ogółem;motocykle ogółem;motocykle ogółem;motocykle ogółem;motocykle ogółem;motocykle ogółem;samochody osobowe;samochody osobowe;samochody osobowe;samochody osobowe;samochody osobowe;samochody osobowe;samochody osobowe;autobusy ogółem;autobusy ogółem;autobusy ogółem;autobusy ogółem;autobusy ogółem;autobusy ogółem;autobusy ogółem
2010;2011;2012;2013;2014;2015;2016;2010;2011;2012;2013;2014;2015;2016;2010;2011;2012;2013;2014;2015;2016
[szt.];[szt.];[szt.];[szt.];[szt.];[szt.];[szt.];[szt.];[szt.];[szt.];[szt.];[szt.];[szt.];[szt.];[szt.];[szt.];[szt.];[szt.];[szt.];[szt.];[szt.]
1 013 014;1 069 195;1 107 260;1 153 169;1 189 527;1 272 333;1 355 625;17 239 800;18 125 490;18 744 412;19 389 446;20 003 863;20 723 423;21 675 388;97 044;100 299;99 858;102 602;106 057;109 844;113 139
